Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,S888,e_S888,S400,e_S400,S1400,e_S1400,DSError,S150,e_S150,S200,e_S200,S3000,e_S3000,alpha,e_alpha
J0820-1350,08,20,26.3,-,13,50,56,12.787,0.405,102.0,6.0,6.0,2.0,0.557,207.0,7.6,160.0,7.0,,,-2.59,0.083
J0823+0159,08,23,09.6,+,01,59,12,4.508,0.561,30.0,5.0,4.0,2.0,0.825,39.7,4.1,,,,,-2.21,0.244
J0837+0610,08,37,05.5,+,06,10,17,12.804,0.714,89.0,14.0,5.0,1.0,4.546,766.2,8.6,286.0,13.0,,,-2.36,0.183
J0908-1739,09,08,38.1,-,17,39,40,4.46,0.361,16.0,1.0,4.0,2.0,2.099,46.0,7.5,,,,,-1.57,0.125
J0908-4913,09,08,35.4,-,49,13,05,23.732,0.491,28.0,3.0,20.0,1.0,0.433,,,,,,,-0.3,0.086
J0922+0638,09,22,14.0,+,06,38,24,12.192,0.456,52.0,6.0,10.0,3.0,1.205,216.3,7.6,100.0,13.0,,,-1.74,0.147
J0953+0755,09,53,09.3,+,07,55,37,216.979,0.948,400.0,200.0,100.0,40.0,206.235,655.9,14.1,1072.0,17.0,10.06,0.244,-1.08,0.51
J1012-2337,10,12,33.7,-,23,38,18,2.422,0.217,4.1,0.8,0.135,0.013,0.34,,,47.0,40.0,,,-3.34,0.167
J1012-5857,10,12,48.3,-,58,57,48,4.632,0.399,15.0,2.0,1.91,0.01,0.0,,,,,,,-1.72,0.093
J1041-1942,10,41,36.2,-,19,42,12,4.546,0.395,28.0,6.0,2.3,0.9,0.343,,,,,,,-2.19,0.268
J1045-4509,10,45,50.1,-,45,09,53,12.512,0.406,15.0,3.0,2.74,0.04,0.406,55.2,5.7,,,,,-2.97,0.071
J1112-6613,11,12,38.5,-,66,13,04,5.391,0.418,19.0,3.0,1.7,0.4,0.009,,,,,,,-1.74,0.193
J1136+1551,11,36,03.1,+,15,51,17,167.034,1.169,257.0,53.0,20.0,10.0,57.846,644.3,6.1,684.0,61.0,4.78,0.221,-0.76,0.252
J1239+2453,12,39,40.2,+,24,53,50,34.355,0.698,110.0,33.0,23.2,4.7,12.646,136.1,5.8,,,2.7,0.189,-1.21,0.287
J1257-1027,12,57,04.6,-,10,27,05,1.97,0.536,12.0,1.0,1.2,0.3,0.169,,,,,,,-1.94,0.188
J1455-3330,14,55,47.9,-,33,30,46,1.31,0.477,9.0,1.0,0.73,0.04,0.455,,,,,,,-2.0,0.099
J1532+2745,15,32,10.3,+,27,45,50,2.909,0.445,13.0,2.0,0.8,0.3,1.306,39.7,3.5,,,,,-2.01,0.234
J1543+0929,15,43,38.8,+,09,29,14,26.692,0.598,78.0,6.0,5.9,0.9,0.703,145.4,5.6,234.0,19.0,1.83,0.261,-1.52,0.095
J1543-0620,15,43,30.1,-,06,20,45,8.041,0.514,40.0,6.0,2.0,0.7,2.79,368.7,4.5,91.0,12.0,1.75,0.45,-2.09,0.194
J1555-2341,15,55,33.3,-,23,41,11,3.474,0.591,7.6,0.6,0.9,0.1,0.116,,,,,,,-1.63,0.106
J1555-3134,15,55,17.9,-,31,34,19,6.702,0.315,19.0,1.0,4.24,0.03,0.112,,,,,2.0,0.388,-1.17,0.04
